Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,Open OU,,Close OU,
119,1,V,Pittsburgh,2,0,1,3,-115,-110,6,-125,6,-130
119,2,H,Philadelphia,0,1,0,1,-105,-110,6,105,6,110
119,3,V,Ottawa,1,1,2,4,100,105,6,100,6,115
119,4,H,Winnipeg,1,0,0,1,-120,-125,6,-120,6,-135
119,5,V,Chicago,3,1,1,5,110,105,5,-115,5,-135
119,6,H,LosAngeles,0,1,1,2,-130,-125,5,-105,5,115
119,7,V,NYRangers,0,1,0,1,100,120,5,-120,5,-125
119,8,H,Boston,1,1,1,3,-120,-140,5,100,5,105
119,9,V,Toronto,1,1,0,2,115,120,5.5,100,5.5,105
119,10,H,Montreal,0,0,1,1,-135,-140,5.5,-120,5.5,-125
119,11,V,NewJersey,0,1,1,2,-120,-120,5,-120,5,-135
119,12,H,NYIslanders,0,0,1,1,100,100,5,100,5,115
119,13,V,Washington,1,2,0,3,-104,-105,6,100,6,120
119,14,H,TampaBay,2,1,3,6,-116,-115,6,-120,6,-140
119,15,V,Carolina,0,1,0,1,100,100,5,-125,5,-140
119,16,H,Florida,4,1,0,5,-120,-120,5,105,5,120
119,17,V,Detroit,0,0,0,0,115,120,5,-115,5,-130
119,18,H,St.Louis,2,2,2,6,-135,-140,5,-105,5,110
119,19,V,Columbus,1,1,0,3,162,150,5.5,100,5.5,105
119,20,H,Nashville,2,0,0,2,-182,-170,5.5,-120,5.5,-125
119,21,V,Phoenix,0,2,1,3,105,100,5,-115,5,-125
119,22,H,Dallas,1,1,2,4,-125,-120,5,-105,5,105
119,23,V,Colorado,1,0,1,2,110,115,5,-125,5,-125
119,24,H,Minnesota,0,3,1,4,-130,-135,5,105,5,105
119,25,V,Anaheim,2,4,1,7,155,130,5.5,-105,5.5,125
119,26,H,Vancouver,2,0,1,3,-175,-150,5.5,-115,5.5,-145
120,51,V,Philadelphia,0,2,0,2,-105,115,5.5,-110,5.5,-115
120,52,H,Buffalo,1,1,3,5,-115,-135,5.5,-110,5.5,-105
120,53,V,Pittsburgh,3,1,2,6,-105,-110,5.5,-110,5.5,115
120,54,H,NYRangers,1,0,2,3,-115,-110,5.5,-110,5.5,-135
120,55,V,SanJose,0,3,1,4,-104,-125,5,-135,5,-140
120,56,H,Calgary,1,0,0,1,-116,105,5,115,5,120
120,57,V,Dallas,0,0,0,0,125,135,5,-135,5,-145
