,home_goals,home_pim,home_shots,home_powerPlayPercentage,home_powerPlayGoals,home_powerPlayOpportunities,home_faceOffWinPercentage,home_blocked,home_takeaways,home_giveaways,home_hits,away_goals,away_pim,away_shots,away_powerPlayPercentage,away_powerPlayGoals,away_powerPlayOpportunities,away_faceOffWinPercentage,away_blocked,away_takeaways,away_giveaways,away_hits
14099,6,20,34,66.7,0,0,49.2,12,8,7,20,2,24,38,0.0,0,0,50.8,5,4,10,22
14100,3,10,22,0.0,0,0,48.3,24,6,19,19,0,6,42,0.0,0,0,51.7,12,8,8,26
14101,2,4,27,33.3,0,0,41.8,13,7,6,20,3,6,25,0.0,0,0,58.2,15,5,2,27
14102,6,12,31,75.0,0,0,61.1,13,9,8,16,5,10,30,40.0,0,0,38.9,14,6,9,13
14103,5,8,33,16.7,0,0,63.2,8,0,1,17,1,12,29,0.0,0,0,36.8,11,3,1,18
14104,0,10,22,0.0,0,0,,16,6,1,32,0,10,45,0.0,0,0,,12,4,3,16
14105,3,16,39,25.0,0,0,52.7,18,7,9,18,1,14,31,0.0,0,0,47.3,11,8,11,11
14106,3,10,35,16.7,0,0,,0,0,0,0,4,12,24,60.0,0,0,,0,0,0,0
14107,9,4,41,33.3,0,0,48.4,13,5,5,9,2,8,29,0.0,0,0,51.6,9,1,5,6
14108,2,4,31,25.0,0,0,58.1,6,11,5,23,3,8,22,0.0,0,0,41.9,15,8,8,25
14109,4,4,29,50.0,0,0,61.2,6,5,9,19,3,4,25,0.0,0,0,38.8,9,3,4,17
14110,2,2,36,28.6,0,0,,15,9,10,31,1,14,18,0.0,0,0,,12,4,7,23
14111,2,12,30,0.0,0,0,55.2,9,4,10,15,3,10,19,0.0,0,0,44.8,16,5,8,19
14112,6,6,27,0.0,0,0,42.4,13,13,3,13,1,0,32,0.0,0,0,57.6,6,0,1,15
14113,0,8,36,0.0,0,0,,0,0,0,0,2,12,18,0.0,0,0,,0,0,0,0
14114,3,6,31,0.0,0,0,59.6,18,8,12,13,2,6,31,33.3,0,0,40.4,12,3,7,24
14115,1,8,22,0.0,0,0,,0,0,0,0,1,10,23,0.0,0,0,,0,0,0,0
14116,1,4,27,0.0,0,0,45.5,12,6,5,34,2,6,27,0.0,0,0,54.5,6,5,1,35
14117,6,15,34,40.0,0,0,,20,9,6,13,0,17,24,0.0,0,0,,7,6,7,13
14118,3,13,30,0.0,0,0,,12,4,6,25,5,17,32,50.0,0,0,,12,4,4,23
14119,4,15,41,20.0,0,0,,13,4,9,18,0,15,21,0.0,0,0,,11,2,7,16
14120,3,8,28,0.0,0,0,48.5,12,14,13,23,4,2,40,25.0,0,0,51.5,14,10,5,17
14121,0,13,16,0.0,0,0,58.8,17,3,18,41,4,9,26,0.0,0,0,41.2,22,3,10,37
14122,4,42,37,16.7,0,0,62.5,8,5,0,24,1,50,15,0.0,0,0,37.5,23,7,5,25
14123,5,12,33,0.0,0,0,49.1,17,21,17,26,1,6,25,25.0,0,0,50.9,13,11,6,34
14124,3,14,22,0.0,0,0,53.7,8,2,5,28,1,14,27,0.0,0,0,46.3,16,3,2,16
14125,1,4,36,0.0,0,0,44.6,9,7,8,18,2,6,27,0.0,0,0,55.4,21,6,8,28
14126,3,8,24,0.0,0,0,62.0,18,8,10,18,1,6,39,0.0,0,0,38.0,9,6,15,22
14127,5,42,31,100.0,0,0,,18,8,7,13,1,32,27,0.0,0,0,,14,3,8,15
14128,4,4,27,0.0,0,0,36.0,19,5,10,36,1,8,39,0.0,0,0,64.0,11,8,4,49
14129,1,25,30,0.0,0,0,,8,4,18,32,3,25,22,0.0,0,0,,9,6,11,33
14130,4,20,29,50.0,0,0,,8,5,8,18,2,16,30,20.0,0,0,,2,3,7,16
14131,1,19,24,0.0,0,0,46.6,0,0,0,0,5,13,28,0.0,0,0,53.4,0,0,0,0
14132,0,6,28,0.0,0,0,54.4,17,10,19,22,2,8,30,0.0,0,0,45.6,19,13,11,19
14133,3,8,31,11.1,0,0,,0,0,0,0,2,18,24,50.0,0,0,,0,0,0,0
14134,4,2,49,0.0,0,0,56.9,9,8,9,16,3,8,27,100.0,0,0,43.1,16,5,16,17
14135,4,2,31,100.0,0,0,56.1,22,8,6,20,2,4,39,0.0,0,0,43.9,14,2,4,14
14136,0,28,20,0.0,0,0,,0,0,0,0,4,16,29,25.0,0,0,,0,0,0,0
14137,1,8,20,0.0,0,0,51.8,16,9,20,31,1,2,18,0.0,0,0,48.2,8,6,8,18
14138,2,20,25,0.0,0,0,39.6,18,6,9,34,4,6,30,25.0,0,0,60.4,12,5,8,16
14139,4,8,30,33.3,0,0,,15,11,17,39,2,6,37,25.0,0,0,,13,7,10,24
14140,3,23,39,25.0,0,0,,7,8,9,18,2,12,22,0.0,0,0,,18,4,5,11
14141,0,4,23,0.0,0,0,60.4,7,12,8,38,5,4,20,50.0,0,0,39.6,17,6,6,26
14142,1,8,27,0.0,0,0,45.2,23,7,8,19,0,4,43,0.0,0,0,54.8,17,3,4,17
14143,4,17,39,28.6,0,0,54.5,12,16,15,27,2,19,29,0.0,0,0,45.5,19,4,10,13
14144,0,2,28,0.0,0,0,35.7,14,8,9,34,2,2,38,0.0,0,0,64.3,11,5,5,18
14145,2,13,35,0.0,0,0,45.8,23,3,9,29,3,21,39,33.3,0,0,54.2,11,5,8,31
14146,2,15,28,0.0,0,0,49.1,17,10,15,35,3,15,37,0.0,0,0,50.9,19,7,10,21
14147,2,8,35,33.3,0,0,53.6,8,12,9,28,4,6,35,0.0,0,0,46.4,20,5,6,25
14148,5,6,36,66.7,0,0,40.0,18,8,4,12,4,6,40,33.3,0,0,60.0,13,4,7,11
14149,3,16,30,0.0,0,0,,14,0,6,30,3,12,39,0.0,0,0,,12,3,3,22
14150,2,13,35,0.0,0,0,47.8,19,4,6,35,2,7,34,0.0,0,0,52.2,14,8,8,39
14151,3,25,25,33.3,0,0,52.9,18,5,5,24,6,11,49,20.0,0,0,47.1,15,3,1,17
14152,3,14,19,0.0,0,0,,0,0,0,0,0,25,20,0.0,0,0,,0,0,0,0
14153,1,35,19,12.5,0,0,,6,7,11,19,5,35,25,0.0,0,0,,9,1,8,19
14154,2,4,33,100.0,0,0,52.7,9,10,4,29,3,4,32,100.0,0,0,47.3,15,6,0,25
14155,2,17,22,12.5,0,0,,0,0,0,0,2,31,26,0.0,0,0,,0,0,0,0
14156,2,2,24,0.0,0,0,,0,0,0,0,0,12,17,0.0,0,0,,0,0,0,0
14157,5,6,43,0.0,0,0,50.0,12,4,8,19,6,10,34,0.0,0,0,50.0,27,3,9,29
14158,4,4,36,0.0,0,0,53.3,15,10,22,29,1,8,32,0.0,0,0,46.7,20,5,15,32
14159,2,8,46,0.0,0,0,,13,8,16,38,1,18,31,0.0,0,0,,12,9,14,36
14160,2,12,22,20.0,0,0,,0,0,0,0,4,10,38,16.7,0,0,,0,0,0,0
14161,6,7,30,50.0,0,0,47.1,12,6,9,27,1,13,35,0.0,0,0,52.9,8,6,12,23
14162,4,8,35,20.0,0,0,,16,2,9,24,4,10,38,25.0,0,0,,8,6,8,13
14163,3,17,39,28.6,0,0,54.9,13,12,10,26,4,25,23,25.0,0,0,45.1,27,6,13,33
14164,1,8,24,0.0,0,0,,17,8,1,20,0,8,31,0.0,0,0,,9,8,2,27
14165,4,6,32,0.0,0,0,55.8,18,6,8,9,2,4,31,0.0,0,0,44.2,12,6,4,6
14166,3,10,28,11.1,0,0,,0,0,0,0,2,22,25,0.0,0,0,,0,0,0,0
14167,5,13,32,40.0,0,0,,3,7,5,14,1,31,29,0.0,0,0,,17,4,2,14
14168,3,6,38,0.0,0,0,57.6,11,12,9,13,1,6,22,50.0,0,0,42.4,19,7,13,13
14169,2,6,31,0.0,0,0,53.0,8,2,9,17,3,6,18,0.0,0,0,47.0,23,6,9,24
14170,5,10,34,0.0,0,0,,15,5,14,37,4,6,37,25.0,0,0,,27,12,9,24
14171,3,12,21,0.0,0,0,,0,0,0,0,1,4,20,0.0,0,0,,0,0,0,0
14172,3,15,30,0.0,0,0,50.0,9,2,7,25,4,11,26,20.0,0,0,50.0,15,5,6,28
14173,2,4,26,0.0,0,0,48.1,13,14,10,14,1,4,28,50.0,0,0,51.9,15,8,10,23
14174,6,10,30,66.7,0,0,40.4,17,3,12,19,3,10,33,0.0,0,0,59.6,13,8,7,26
14175,5,16,34,0.0,0,0,,0,0,0,0,0,48,37,0.0,0,0,,0,0,0,0
14176,1,10,28,25.0,0,0,,12,5,13,19,0,10,18,0.0,0,0,,9,5,18,20
14177,2,12,24,0.0,0,0,44.6,10,3,3,30,3,12,29,0.0,0,0,55.4,12,1,2,34
14178,3,13,24,12.5,0,0,,11,5,9,15,1,23,27,0.0,0,0,,11,4,5,10
14179,4,20,33,0.0,0,0,,13,8,6,11,2,6,37,20.0,0,0,,9,1,9,16
14180,2,12,23,33.3,0,0,56.1,15,10,15,30,1,21,26,25.0,0,0,43.9,20,10,10,29
14181,4,12,24,50.0,0,0,50.8,12,6,9,11,1,14,30,0.0,0,0,49.2,10,7,6,5
14182,2,12,29,0.0,0,0,,23,5,10,16,4,12,23,33.3,0,0,,16,6,17,19
14183,2,4,29,33.3,0,0,,0,0,0,0,2,8,34,0.0,0,0,,0,0,0,0
14184,3,10,19,33.3,0,0,52.8,19,10,7,14,2,10,32,33.3,0,0,47.2,14,5,2,19
14185,3,0,0,0.0,0,0,,0,0,0,0,7,0,0,0.0,0,0,,0,0,0,0
14186,2,10,41,20.0,0,0,,10,4,3,31,0,10,26,0.0,0,0,,11,3,1,23
14187,0,10,22,0.0,0,0,,8,2,8,13,2,14,26,0.0,0,0,,22,3,3,14
14188,6,14,33,25.0,0,0,58.0,13,4,4,17,2,12,31,0.0,0,0,42.0,10,2,4,18
14189,5,10,42,42.9,0,0,,5,18,5,18,4,18,23,0.0,0,0,,6,8,5,18
14190,3,6,28,50.0,0,0,56.9,17,9,7,23,4,6,42,0.0,0,0,43.1,20,4,5,18
14191,5,10,30,25.0,0,0,,16,15,25,21,5,8,35,40.0,0,0,,7,18,15,11
14192,2,10,30,0.0,0,0,54.2,12,12,5,17,1,4,34,20.0,0,0,45.8,17,5,3,15
14193,2,10,25,100.0,0,0,40.0,14,6,12,21,4,2,35,20.0,0,0,60.0,10,7,4,17
14194,5,10,29,33.3,0,0,,7,5,5,15,4,8,30,25.0,0,0,,12,2,6,8
14195,3,15,22,0.0,0,0,,29,15,11,19,3,11,32,33.3,0,0,,21,11,5,16
14196,3,10,27,33.3,0,0,47.2,12,4,11,9,1,12,24,0.0,0,0,52.8,15,8,6,12
14197,1,4,34,0.0,0,0,55.1,8,8,8,26,4,6,23,0.0,0,0,44.9,10,12,5,24
14198,4,11,41,33.3,0,0,50.0,12,11,7,22,1,21,21,0.0,0,0,50.0,16,12,16,35
14199,3,20,34,0.0,0,0,,0,0,0,0,1,20,22,25.0,0,0,,0,0,0,0
14200,6,32,30,30.0,0,0,,11,17,12,14,1,44,27,0.0,0,0,,16,4,8,14
14201,4,8,33,0.0,0,0,45.3,16,20,16,19,3,6,29,25.0,0,0,54.7,10,15,11,15
14202,2,14,26,33.3,0,0,,0,0,0,0,4,20,26,33.3,0,0,,0,0,0,0
14203,2,8,39,0.0,0,0,53.7,10,6,7,25,4,6,20,25.0,0,0,46.3,17,8,5,35
14204,3,10,31,0.0,0,0,56.5,13,6,6,17,3,8,29,0.0,0,0,43.5,10,3,5,20
14205,6,4,25,50.0,0,0,56.9,28,9,13,24,2,4,36,0.0,0,0,43.1,10,7,23,32
14206,3,26,23,0.0,0,0,,0,0,0,0,2,24,28,0.0,0,0,,0,0,0,0
14207,2,28,37,0.0,0,0,,13,15,21,16,6,30,25,40.0,0,0,,15,18,25,13
14208,3,4,31,0.0,0,0,51.9,32,8,16,34,2,6,34,50.0,0,0,48.1,12,3,12,20
14209,3,2,40,20.0,0,0,51.6,4,6,13,26,2,10,17,0.0,0,0,48.4,10,10,6,26
14210,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0
14211,2,6,30,0.0,0,0,45.8,14,9,7,29,1,12,34,50.0,0,0,54.2,14,4,8,31
14212,4,4,25,33.3,0,0,41.8,14,13,12,13,4,6,27,0.0,0,0,58.2,13,10,6,8
14213,2,13,35,33.3,0,0,55.7,10,11,9,25,4,15,32,50.0,0,0,44.3,24,5,5,26
14214,2,6,31,33.3,0,0,,0,0,0,0,3,6,32,0.0,0,0,,0,0,0,0
14215,4,8,38,50.0,0,0,53.0,10,12,6,23,3,8,32,50.0,0,0,47.0,17,14,7,14
14216,2,6,37,0.0,0,0,,9,11,21,16,0,10,25,0.0,0,0,,16,6,12,20
14217,3,4,33,0.0,0,0,,0,0,0,0,5,4,28,0.0,0,0,,0,0,0,0
14218,4,10,41,0.0,0,0,53.8,20,8,6,16,1,2,28,0.0,0,0,46.2,11,5,3,21
14219,1,8,18,0.0,0,0,56.2,15,8,14,22,2,6,24,50.0,0,0,43.8,10,5,9,21
14220,1,13,38,0.0,0,0,,11,15,21,28,2,13,29,0.0,0,0,,24,10,17,21
14221,2,6,30,33.3,0,0,55.6,14,7,12,27,1,14,28,0.0,0,0,44.4,21,8,7,24
14222,5,13,37,16.7,0,0,,12,12,6,17,0,17,30,0.0,0,0,,19,4,6,23
14223,2,10,23,0.0,0,0,,0,0,0,0,3,10,28,40.0,0,0,,0,0,0,0
14224,5,6,21,50.0,0,0,63.9,15,10,13,13,3,8,41,33.3,0,0,36.1,12,6,6,16
14225,5,9,27,33.3,0,0,,0,0,0,0,4,11,28,50.0,0,0,,0,0,0,0
14226,5,2,29,0.0,0,0,42.1,21,7,9,30,2,2,22,0.0,0,0,57.9,13,7,1,29
14227,6,10,37,25.0,0,0,61.7,13,5,14,21,3,10,22,50.0,0,0,38.3,9,3,20,10
14228,4,16,29,33.3,0,0,50.8,30,12,8,16,0,18,22,0.0,0,0,49.2,13,11,13,24
14229,2,6,36,0.0,0,0,47.8,18,3,4,29,1,8,29,33.3,0,0,52.2,15,11,14,20
14230,4,32,29,33.3,0,0,55.0,12,1,2,23,1,26,22,0.0,0,0,45.0,9,7,1,12
14231,1,12,25,0.0,0,0,61.4,18,10,8,17,0,6,25,0.0,0,0,38.6,14,5,3,12
14232,2,10,27,100.0,0,0,,21,14,10,21,3,2,39,20.0,0,0,,15,10,14,20
14233,4,8,36,50.0,0,0,39.0,22,17,8,20,3,4,35,0.0,0,0,61.0,11,14,8,22
14234,3,12,42,25.0,0,0,48.4,9,8,15,27,4,18,24,0.0,0,0,51.6,15,7,14,25
14235,3,21,37,33.3,0,0,,0,0,0,0,1,11,30,0.0,0,0,,0,0,0,0
14236,0,2,22,0.0,0,0,46.4,20,9,11,19,4,2,29,0.0,0,0,53.6,15,4,4,15
14237,6,9,26,0.0,0,0,50.0,13,10,7,9,5,7,33,50.0,0,0,50.0,11,4,2,15
14238,0,24,28,0.0,0,0,,8,5,15,29,6,6,17,33.3,0,0,,12,7,18,19
14239,3,2,28,0.0,0,0,56.6,17,13,15,15,2,2,29,0.0,0,0,43.4,10,15,8,9
14240,0,16,17,0.0,0,0,48.1,12,8,20,34,4,12,39,0.0,0,0,51.9,22,4,5,27
14241,1,16,46,25.0,0,0,57.6,20,7,15,20,2,10,30,0.0,0,0,42.4,18,2,15,15
14242,2,6,37,33.3,0,0,54.2,12,7,6,17,5,12,27,33.3,0,0,45.8,21,11,10,15
14243,5,24,33,0.0,0,0,,0,0,0,0,2,22,20,0.0,0,0,,0,0,0,0
14244,0,10,36,0.0,0,0,55.9,10,5,11,33,2,16,21,33.3,0,0,44.1,12,0,7,35
14245,3,6,29,0.0,0,0,,0,0,0,0,2,22,22,0.0,0,0,,0,0,0,0
14246,3,6,23,50.0,0,0,54.2,11,4,5,21,2,4,36,33.3,0,0,45.8,9,6,6,14
14247,2,10,30,33.3,0,0,,11,3,2,11,1,14,29,0.0,0,0,,9,0,6,10
14248,4,8,50,33.3,0,0,50.8,14,7,9,18,3,6,38,50.0,0,0,49.2,20,6,4,21
14249,1,4,32,0.0,0,0,57.1,9,6,7,14,4,6,27,0.0,0,0,42.9,14,7,7,16
14250,2,12,31,33.3,0,0,55.6,26,4,8,20,1,10,38,25.0,0,0,44.4,19,5,11,45
14251,6,15,32,25.0,0,0,60.0,9,2,2,24,3,13,14,0.0,0,0,40.0,16,0,9,26
14252,2,13,24,33.3,0,0,40.3,10,6,14,35,6,11,40,50.0,0,0,59.7,26,6,17,28
14253,3,13,25,40.0,0,0,,0,0,0,0,6,15,25,25.0,0,0,,0,0,0,0
14254,1,13,31,0.0,0,0,49.2,5,9,9,25,6,9,30,100.0,0,0,50.8,23,14,7,12
14255,3,4,48,66.7,0,0,49.3,6,7,8,21,4,8,20,100.0,0,0,50.7,16,4,8,25
14256,2,2,28,0.0,0,0,45.8,12,4,5,21,3,6,35,0.0,0,0,54.2,15,5,9,13
14257,4,10,39,28.6,0,0,,11,10,13,31,1,16,32,25.0,0,0,,17,7,11,15
14258,3,17,26,50.0,0,0,,0,0,0,0,1,15,25,20.0,0,0,,0,0,0,0
14259,3,8,29,0.0,0,0,52.9,19,16,9,42,3,8,23,25.0,0,0,47.1,15,6,5,29
14260,1,11,29,0.0,0,0,,14,8,17,22,2,13,23,0.0,0,0,,20,3,4,9
14261,6,12,34,25.0,0,0,47.7,18,11,9,17,3,8,23,33.3,0,0,52.3,16,7,3,26
14262,4,8,29,0.0,0,0,51.7,5,7,8,42,3,8,22,50.0,0,0,48.3,19,5,12,46
14263,0,0,0,0.0,0,0,,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,0
14264,1,6,28,0.0,0,0,53.8,12,8,9,34,3,2,32,33.3,0,0,46.2,31,11,12,33
14265,6,34,36,75.0,0,0,,11,15,9,23,3,22,36,20.0,0,0,,12,6,9,13
14266,12,0,45,0.0,0,0,0.0,0,0,0,0,14,0,53,0.0,0,0,0.0,0,0,0,0
14267,1,18,25,12.5,0,0,,11,5,13,13,5,16,24,25.0,0,0,,17,6,14,11
14268,2,4,28,0.0,0,0,54.1,8,11,9,11,5,6,34,50.0,0,0,45.9,11,7,5,11
14269,0,0,0,0.0,0,0,,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,0
14270,2,8,35,0.0,0,0,50.0,17,6,9,28,1,8,24,33.3,0,0,50.0,16,7,10,34
14271,6,6,34,33.3,0,0,54.0,22,9,9,26,3,6,20,0.0,0,0,46.0,12,9,6,19
14272,2,13,31,33.3,0,0,,7,2,11,8,3,11,23,25.0,0,0,,8,1,2,9
14273,7,10,34,0.0,0,0,51.8,11,8,8,20,5,6,32,40.0,0,0,48.2,11,3,7,28
14274,3,42,29,25.0,0,0,41.9,11,7,9,27,1,49,28,0.0,0,0,58.1,9,2,10,29
14275,2,6,32,0.0,0,0,45.6,13,13,15,43,1,4,24,0.0,0,0,54.4,18,4,16,25
14276,2,11,22,20.0,0,0,,0,0,0,0,1,15,23,0.0,0,0,,0,0,0,0
14277,3,16,29,40.0,0,0,,14,11,10,20,3,14,36,33.3,0,0,,18,6,10,21
14278,4,6,20,0.0,0,0,50.8,10,5,10,28,0,2,24,0.0,0,0,49.2,8,0,2,22
14279,1,10,27,0.0,0,0,42.9,13,9,5,19,4,8,24,20.0,0,0,57.1,12,6,2,12
14280,5,8,41,50.0,0,0,52.1,13,5,10,23,3,27,25,33.3,0,0,47.9,17,4,2,26
14281,4,4,29,0.0,0,0,42.0,14,13,5,23,2,6,32,0.0,0,0,58.0,9,7,5,11
14282,6,7,34,0.0,0,0,43.9,15,14,4,27,2,25,24,0.0,0,0,56.1,15,7,4,17
14283,1,4,28,0.0,0,0,39.0,12,9,10,17,2,8,35,0.0,0,0,61.0,12,7,11,18
14284,6,9,48,25.0,0,0,,0,0,0,0,4,13,16,0.0,0,0,,0,0,0,0
14285,5,9,19,50.0,0,0,40.0,15,8,13,14,3,13,24,50.0,0,0,60.0,12,7,6,19
14286,1,4,26,33.3,0,0,,6,3,14,26,2,6,23,0.0,0,0,,18,4,12,21
14287,2,6,25,0.0,0,0,36.0,17,6,13,17,1,6,31,0.0,0,0,64.0,10,6,11,18
14288,1,8,22,0.0,0,0,,0,0,0,0,1,8,25,0.0,0,0,,0,0,0,0
14289,3,12,22,25.0,0,0,41.7,9,5,14,24,0,12,24,0.0,0,0,58.3,8,4,8,39
14290,3,0,43,0.0,0,0,50.0,12,9,8,27,2,12,24,0.0,0,0,50.0,13,4,6,34
14291,4,8,28,20.0,0,0,48.4,21,8,16,12,1,12,23,0.0,0,0,51.6,18,4,5,17
14292,4,10,40,20.0,0,0,,17,4,3,23,3,10,27,20.0,0,0,,16,1,6,22
14293,5,6,40,16.7,0,0,,12,13,10,26,4,22,22,0.0,0,0,,17,6,4,16
